Date_Time, TimeSinceLoad(s), PPID, TimeStamp_Pupil,NormalPos_X,NormalPos_Y,NormalPos_Z,OriginalPos_X,OriginalPos_Y,OriginalPos_Z,Left_Openess,Right_Openess,Left_Dia,Right_Dia,GazeNormal_Left_X,GazeNormal_Left_Y,GazeNormal_Left_Z,GazeNormal_Right_X,GazeNormal_Right_Y,GazeNormal_Right_Z,EyeCenter_Left_X,EyeCenter_Left_Y,EyeCenter_Left_Z,EyeCenter_Right_X,EyeCenter_Right_Y,EyeCenter_Right_Z, environment,cart_status
0:5/8/2021 22:23:21.337,1411.051,pilot01,4034023,0.148284912,-0.101165771,0.98374939,2.765914917,1.413513184,-30.93515015,1,1,4.238555908,4.620773315,0.135681152,-0.082000732,0.987350464,0.160400391,-0.119659424,0.979766846,33.27284241,1.68460083,-32.59063721,-26.7353363,1.151351929,-29.33421326, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.358,1411.072,pilot01,4034039,0.147674561,-0.102172852,0.983734131,2.878158569,1.416320801,-30.94822693,1,1,4.237060547,4.620605469,0.135726929,-0.08380127,0.987182617,0.159240723,-0.120010376,0.979904175,33.27130127,1.689224243,-32.6075592,-26.73562622,1.150436401,-29.33143616, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.381,1411.095,pilot01,4034064,0.146820068,-0.101898193,0.983886719,2.483016968,1.411834717,-30.92297363,1,1,4.237701416,4.639068604,0.135238647,-0.082809448,0.987335205,0.15776062,-0.1199646,0.980148315,33.26777649,1.689224243,-32.6075592,-26.73602295,1.14855957,-29.32406616, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.403,1411.117,pilot01,4034089,0.144256592,-0.101028442,0.984359741,2.843139648,1.411026001,-30.9269104,1,1,4.242294312,4.639328003,0.13381958,-0.081390381,0.98765564,0.154327393,-0.120071411,0.980682373,33.26300049,1.680770874,-32.58787537,-26.73628235,1.148742676,-29.31182861, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.426,1411.14,pilot01,4034106,0.143676758,-0.100814819,0.984466553,1.33972168,1.394180298,-30.79747009,1,1,4.240722656,4.671768188,0.132705688,-0.08291626,0.987670898,0.153274536,-0.116516113,0.981277466,33.25537109,1.668869019,-32.50828552,-26.74661255,1.152450562,-29.29191589, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.448,1411.162,pilot01,4034131,0.143417358,-0.102172852,0.984359741,-2.874420166,1.351638794,-30.54096985,1,1,4.243667603,4.653762817,0.129760742,-0.078475952,0.988418579,0.152389526,-0.117797852,0.981262207,33.24433899,1.6534729,-32.46325684,-26.76147461,1.152008057,-29.26966858, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.471,1411.185,pilot01,4034156,0.153442383,-0.113342285,0.981628418,-26.79220581,1.148757935,-29.26766968,1,1,4.307540894,4.675033569,0.117538452,-0.075546265,0.990188599,0.153442383,-0.113357544,0.981628418,33.12815857,1.472625732,-31.76564026,-26.7961731,1.148742676,-29.26750183, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.484,1411.198,pilot01,4034164,0.119369507,-0.115936279,0.986053467,-26.87660217,1.118621826,-29.04891968,1,1,4.250335693,4.800003052,0.111907959,-0.07749939,0.99067688,0.119369507,-0.115936279,0.986053467,33.11325073,1.465530396,-31.74897766,-26.87815857,1.118606567,-29.04885864, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.498,1411.212,pilot01,4034181,0.121627808,-0.111740112,0.986251831,-26.92210388,1.174758911,-29.25224304,1,1,4.365203857,4.757736206,0.107543945,-0.084136963,0.990631104,0.121627808,-0.111740112,0.986251831,33.07307434,1.378738403,-31.41308594,-26.92388916,1.174743652,-29.25218201, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.511,1411.225,pilot01,4034197,0.162109375,-0.115493774,0.979980469,-26.74012756,1.166320801,-29.22340393,1,1,4.300704956,4.814910889,0.146850586,-0.076797485,0.986160278,0.162109375,-0.115493774,0.979980469,33.24749756,1.767440796,-32.77357483,-26.74424744,1.166275024,-29.22315979, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.525,1411.239,pilot01,4034206,0.184539795,-0.106918335,0.976974487,-26.53277588,1.232513428,-29.41294861,1,1,4.272079468,4.818023682,0.173461914,-0.076980591,0.981811523,0.184555054,-0.106933594,0.976974487,33.38818359,1.560760498,-31.98893738,-26.58198547,1.232254028,-29.41082764, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.539,1411.253,pilot01,4034222,0.227355957,-0.113128662,0.967208862,-26.33236694,1.255172729,-29.42996216,1,1,4.497711182,4.710525513,0.201477051,-0.081542969,0.976089478,0.227355957,-0.113128662,0.967208862,33.59387207,1.71824646,-32.63562012,-26.33287048,1.255172729,-29.42993164, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.553,1411.266,pilot01,4034239,0.21307373,-0.106613159,0.971191406,-26.34059143,1.278488159,-29.47172546,1,1,4.349075317,4.802001953,0.187652588,-0.079467773,0.979003906,0.21307373,-0.106613159,0.971191406,33.57685852,1.794906616,-32.88487244,-26.34078979,1.278488159,-29.47171021, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.566,1411.279,pilot01,4034247,0.212081909,-0.099182129,0.972198486,-26.36235046,1.278640747,-29.47335815,1,1,4.413482666,4.842193604,0.181243896,-0.082687378,0.979949951,0.212081909,-0.099182129,0.972198486,33.56002808,1.864746094,-33.12852478,-26.36244202,1.278640747,-29.4733429, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.579,1411.292,pilot01,4034264,0.212692261,-0.106018066,0.971343994,-26.41586304,1.29800415,-29.53512573,1,1,4.411834717,4.82170105,0.177749634,-0.076416016,0.98109436,0.212692261,-0.106033325,0.971343994,33.52896118,1.851470947,-33.08058167,-26.42124939,1.297958374,-29.5348053, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.592,1411.305,pilot01,4034272,0.197570801,-0.10760498,0.974349976,-26.3745575,1.282150269,-29.46618652,1,1,4.390945435,4.878341675,0.17980957,-0.073150635,0.98097229,0.197601318,-0.107650757,0.974349976,33.51243591,1.820999146,-32.97013855,-26.45321655,1.281433105,-29.46157837, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.604,1411.317,pilot01,4034289,0.189422607,-0.106506348,0.976089478,-23.79521179,1.259078979,-29.45944214,1,1,4.242904663,4.879211426,0.163742065,-0.062286377,0.984527588,0.190612793,-0.108566284,0.975631714,33.47923279,1.841461182,-33.03819275,-26.48674011,1.231704712,-29.29127502, HorrorEnvironment,FALSE
0:5/8/2021 22:23:21.617,1411.33,pilot01,4034297,0.193740845,-0.105422974,0.975357056,-25.68084717,1.244888306,-29.35466003,1,1,4.483337402,4.902236938,0.170471191,-0.085327148,0.981658936,0.194061279,-0.105712891,0.975265503,33.43858337,1.679489136,-32.45878601,-26.51126099,1.23878479,-29.31106567, HorrorEnvironment,FALSE
