Date_Time, TimeSinceLoad(s), PPID, TimeStamp_Pupil,NormalPos_X,NormalPos_Y,NormalPos_Z,OriginalPos_X,OriginalPos_Y,OriginalPos_Z,Left_Openess,Right_Openess,Left_Dia,Right_Dia,GazeNormal_Left_X,GazeNormal_Left_Y,GazeNormal_Left_Z,GazeNormal_Right_X,GazeNormal_Right_Y,GazeNormal_Right_Z,EyeCenter_Left_X,EyeCenter_Left_Y,EyeCenter_Left_Z,EyeCenter_Right_X,EyeCenter_Right_Y,EyeCenter_Right_Z, environment,cart_status
0:5/8/2021 22:11:22.785,692.4866,pilot01,3315454,-0.182449341,-0.134307861,0.973983765,19.92118835,1.301940918,-32.22268677,1,1,3.094650269,3.171325684,-0.178009033,-0.13092041,0.975265503,-0.201705933,-0.149002075,0.968032837,31.08575439,1.35307312,-32.70159912,-28.63218689,1.079589844,-30.13993835, VikingFresh,FALSE
0:5/8/2021 22:11:22.818,692.5196,pilot01,3315487,-0.176956177,-0.147659302,0.973068237,-0.95640564,1.20690918,-31.28640747,1,1,3.04901123,3.202362061,-0.165679932,-0.150146484,0.97467041,-0.186569214,-0.145523071,0.971588135,31.23298645,1.386306763,-32.6570282,-28.52090454,1.05329895,-30.11271667, VikingFresh,FALSE
0:5/8/2021 22:11:22.852,692.5536,pilot01,3315520,-0.162078857,-0.151397705,0.975082397,0.2862854,1.220657349,-31.30764771,1,1,3.098205566,3.208862305,-0.160400391,-0.157836914,0.974334717,-0.163619995,-0.145446777,0.975738525,31.36712646,1.405578613,-32.62335205,-28.44012451,1.049743652,-30.09161377, VikingFresh,FALSE
0:5/8/2021 22:11:22.887,692.5886,pilot01,3315562,-0.139419556,-0.155822754,0.977890015,0.687362671,1.216644287,-31.30018616,1,1,3.008239746,3.24949646,-0.145065308,-0.157897949,0.976730347,-0.134094238,-0.15385437,0.978942871,31.46640015,1.398788452,-32.6068573,-28.35559082,1.044769287,-30.06723022, VikingFresh,FALSE
0:5/8/2021 22:11:22.919,692.6206,pilot01,3315587,-0.159072876,-0.159393311,0.974304199,2.245697021,1.143814087,-31.4066925,1,1,3.103607178,3.272338867,-0.14994812,-0.148223877,0.977508545,-0.168716431,-0.171157837,0.970672607,31.27424622,1.303466797,-32.6436615,-28.46916199,0.974899292,-30.09786987, VikingFresh,FALSE
0:5/8/2021 22:11:22.953,692.6546,pilot01,3315629,-0.159194946,-0.16166687,0.973907471,2.89630127,1.141220093,-31.42582703,1,1,3.102294922,3.351303101,-0.158615112,-0.146499634,0.976409912,-0.159790039,-0.178329468,0.970901489,31.36708069,1.309936523,-32.63861084,-28.44813538,0.955459595,-30.09065247, VikingFresh,FALSE
0:5/8/2021 22:11:22.986,692.6876,pilot01,3315662,-0.149841309,-0.1668396,0.974517822,1.899078369,1.139312744,-31.37878418,1,1,3.139129639,3.321746826,-0.151290894,-0.153808594,0.97644043,-0.148330688,-0.180206299,0.972366333,31.37809753,1.317459106,-32.63117981,-28.44244385,0.955963135,-30.08973694, VikingFresh,FALSE
0:5/8/2021 22:11:23.019,692.7206,pilot01,3315687,-0.140884399,-0.167404175,0.975753784,0.79145813,1.128311157,-31.32209778,1,1,3.13180542,3.301483154,-0.133895874,-0.153884888,0.97895813,-0.147521973,-0.180282593,0.972473145,31.39820862,1.308944702,-32.61164856,-28.44534302,0.955780029,-30.09028625, VikingFresh,FALSE
0:5/8/2021 22:11:23.051,692.7526,pilot01,3315720,-0.12612915,-0.168319702,0.977615356,0.623199463,1.110961914,-31.31300354,1,1,3.082260132,3.317382813,-0.125656128,-0.153717041,0.98008728,-0.126541138,-0.182006836,0.975112915,31.47595215,1.300628662,-32.61833191,-28.37191772,0.93270874,-30.08625793, VikingFresh,FALSE
0:5/8/2021 22:11:23.086,692.788,pilot01,3315762,-0.11680603,-0.169128418,0.978637695,0.962783813,1.102798462,-31.31474304,1,1,3.089035034,3.272888184,-0.112869263,-0.156600952,0.981185913,-0.120559692,-0.181091309,0.976043701,31.55706787,1.290847778,-32.608078,-28.31671143,0.922836304,-30.07698059, VikingFresh,FALSE
0:5/8/2021 22:11:23.120,692.8215,pilot01,3315795,-0.116149902,-0.175582886,0.97756958,7.21446228,1.175048828,-31.53630066,1,1,3.088272095,3.286941528,-0.107666016,-0.157348633,0.981643677,-0.128433228,-0.20199585,0.970916748,31.57640076,1.292297363,-32.60498047,-28.24243164,1.004425049,-29.98091125, VikingFresh,FALSE
